
Char	Dec	Hex	Name
⌚	8986	231A	
⌛	8987	231B	
⏩	9193	23E9	
⏪	9194	23EA	
⏫	9195	23EB	
⏬	9196	23EC	
⏭	9197	23ED	
⏮	9198	23EE	
⏯	9199	23EF	
⏰	9200	23F0	
⏱	9201	23F1	
⏲	9202	23F2	
⏳	9203	23F3	
⏸	9208	23F8	
⏹	9209	23F9	
⏺	9210	23FA	
Ⓜ	9410	24C2	
☔	9748	2614	
☕	9749	2615	
☝	9757	261D	
♈	9800	2648	
♉	9801	2649	
♊	9802	264A	
♋	9803	264B	
♌	9804	264C	
♍	9805	264D	
♎	9806	264E	
♏	9807	264F	
♐	9808	2650	
♑	9809	2651	
♒	9810	2652	
♓	9811	2653	
♟	9823	265F	
♿	9855	267F	
⚓	9875	2693	
⚡	9889	26A1	
⚪	9898	26AA	
⚫	9899	26AB	
⚽	9917	26BD	
⚾	9918	26BE	
⛄	9924	26C4	
⛅	9925	26C5	
⛎	9934	26CE	
⛏	9935	26CF	
⛑	9937	26D1	
⛓	9939	26D3	
⛔	9940	26D4	
⛩	9961	26E9	
⛪	9962	26EA	
⛰	9968	26F0	
⛱	9969	26F1	
⛲	9970	26F2	
⛳	9971	26F3	
⛴	9972	26F4	
⛵	9973	26F5	
⛷	9975	26F7	
⛸	9976	26F8	
⛹	9977	26F9	
⛺	9978	26FA	
⛽	9981	26FD	
✂	9986	2702	
✅	9989	2705	
✈	9992	2708	
✉	9993	2709	
✊	9994	270A	
✋	9995	270B	
✌	9996	270C	
✍	9997	270D	
✏	9999	270F	
✒	10002	2712	
✔	10004	2714	
✖	10006	2716	
✝	10013	271D	
✡	10017	2721	
✨	10024	2728	
✳	10035	2733	
✴	10036	2734	
❄	10052	2744	
❇	10055	2747	
❌	10060	274C	
❎	10062	274E	
❓	10067	2753	
❔	10068	2754	
❕	10069	2755	
❗	10071	2757	
❣	10083	2763	
❤	10084	2764	
➕	10133	2795	
➖	10134	2796	
➗	10135	2797	
➡	10145	27A1	
➰	10160	27B0	
➿	10175	27BF	
⤴	10548	2934	
⤵	10549	2935	
⬅	11013	2B05	
⬆	11014	2B06	
⬇	11015	2B07	
⬛	11035	2B1B	
⬜	11036	2B1C	
⭐	11088	2B50	
⭕	11093	2B55	
〰	12336	3030	
〽	12349	303D	
㊗	12951	3297	
㊙	12953	3299	
🀄	126980	1F004	
🃏	127183	1F0CF	
